doc;tech;domain;produit;country;revenu;gotomarket;startup;resultat
247energy.pdf;hard;energy transition;energy storage;benelux;one-time+service;2022;non;
actblade.pdf;hard;energy transition;wind turbine blade;autres;one-time;2024;non;Out
adlatusrobotics.pdf;hard;industry 4.0;robot;germany;one-time+service+subscription;2023;oui;Very Unfavorable
aerleum.pdf;hard;energy transition;decarbonization;france;licensing;NA;oui;Very Unfavorable
aiblox.pdf;hard;industry 4.0;IA;benelux;one-time+service;2022;non;Out
air booster.pdf;hard;energy transition;;france;one-time+service;2023;non;Very Unfavorable
aircision.pdf;hard;industry 4.0;;benelux;one-time+service;2025;oui;Very Unfavorable
airthium.pdf;hard;industry 4.0;;autres;one-time+service;2025;oui;Out
aithra.pdf;hard;industry 4.0;;france;one-time;2024;non;Unfavorable
alberts.pdf;both;others;;benelux;subscription+service;2020;non;Very Unfavorable
alouette.pdf;soft;industry 4.0;;france;subscription;2025;non;Very Unfavorable
aloxy.pdf;both;industry 4.0;;benelux;one-time+service;NA;non;Interessant
altosolution.pdf;hard;energy transition;;france;one-time+service;2024;non;Unfavorable
altransenergy.pdf;hard;industry 4.0;;france;one-time+subscription+service;2024;oui;Very Unfavorable
amethyste.pdf;soft;industry 4.0;;france;subscription;NA;non;Very Unfavorable
amflow.pdf;soft;industry 4.0;;benelux;one-time+subscription;2023;non;Very Unfavorable
amiraltechnologies.pdf;soft;industry 4.0;;france;licensing+service;2024;oui;Unfavorable
anabrid.pdf;hard;new materials;;germany;licensing+one-time;2022;non;Very Unfavorable
ananke.pdf;hard;energy transition;;france;one-time+service;2023;non;Unfavorable
appsilon.pdf;hard;others;;benelux;one-time+subscription;2026;non;Very Unfavorable
aprexsolutions.pdf;soft;industry 4.0;;france;licensing+subscription;2026;non;Unfavorable
aquilae.pdf;soft;industry 4.0;;france;one-time+subscription+service;2017;oui;Interessant
aredox.pdf;hard;energy transition;;france;one-time+licensing+service;2020;non;Very Unfavorable
arkcapturesolutions.pdf;hard;energy transition;;benelux;one-time+service;2027;oui;Unfavorable
arkeocean.pdf;hard;others;;france;one-time+service;NA;non;Unfavorable
askforthemoon.pdf;soft;industry 4.0;;france;subscription;2023;non;Very Unfavorable
askforthemoon2.pdf;soft;industry 4.0;;france;subscription;2023;oui;Unfavorable
astriis.pdf;soft;industry 4.0;;france;subscription;2027;oui;Unfavorable
atmocoat.pdf;hard;new materials;;germany;one-time+service;2022;non;Unfavorable
avoxt.pdf;hard;energy transition;;benelux;one-time+service;2023;non;Interessant
axfenergy.pdf;hard;energy transition;;germany;one-time+licensing+service;2028;oui;Very Unfavorable
azteq.pdf;hard;energy transition;;benelux;one-time+service;2020;non;Unfavorable
azteq2.pdf;hard;energy transition;;benelux;one-time+service;2020;non;Very Unfavorable
batiprint3d.pdf;hard;industry 4.0;;france;one-time+service;2024;non;Out
beagle.pdf;both;others;;autres;subscription+service;2022;oui;Out
bianergy2.pdf;hard;others;;benelux;licensing+subscription;2024;oui;Very Unfavorable
biocide.pdf;hard;industry 4.0;;autres;one-time+service;2020;oui;Very Unfavorable
blixt.pdf;both;energy transition;;autres;one-time+licensing+service;NA;non;Out
bloom.pdf;soft;energy transition;;autres;subscription;2027;oui;Very Unfavorable
bluepowersynergy.pdf;hard;energy transition;;benelux;one-time+licensing;2020;non;Very Unfavorable
bondzai.pdf;both;industry 4.0;;france;subscription+licensing;2023;oui;Unfavorable
bonidriver.pdf;soft;others;;germany;one-time+subscription+service;2023;non;Out
borealesenergy.pdf;hard;energy transition;;france;one-time;2023;non;Very Unfavorable
brighterbins.pdf;both;energy transition;;benelux;one-time+subscription;2021;non;Unfavorable
bulane.pdf;hard;energy transition;;france;one-time+subscription+service;2023;non;Very Unfavorable
carbodown.pdf;hard;energy transition;;france;one-time+service;2024;non;Very Unfavorable
carbon8.pdf;hard;energy transition;;autres;licensing+service;2025;non;Out
carbyon2.pdf;hard;energy transition;;autres;one-time+service;2030;non;Interessant
chemalive.pdf;soft;new materials;;autres;licensing+subscription+service;2021;oui;Very Unfavorable
chemicalnewtech.pdf;hard;energy transition;;autres;one-time+service;2018;non;Out
cilkoa.pdf;hard;new materials;;france;licensing+service;2025;non;Very Unfavorable
cixten.pdf;hard;energy transition;;france;one-time+licensing+service;2025;non;Unfavorable
clhynn.pdf;hard;energy transition;;france;licensing;2027;oui;Very Unfavorable
cognifab.pdf;soft;industry 4.0;;france;subscription+service;2024;oui;Out
coldpad.pdf;hard;others;;france;one-time+licensing+service;2022;non;Unfavorable
coldpad2.pdf;hard;others;;france;one-time+licensing+service;2022;non;Unfavorable
companionenergy.pdf;soft;energy transition;;benelux;one-time+subscription+service;2023;non;Out
comppair.pdf;hard;new materials;;autres;one-time+licensing;2022;non;Out
comsens.pdf;both;industry 4.0;;benelux;one-time+subscription;2024;non;Unfavorable
condugo.pdf;soft;energy transition;;benelux;licensing+subscription+service;2017;non;Very Unfavorable
cosmotech.pdf;soft;industry 4.0;;france;licensing+subscription+service;NA;non;Out
covess.pdf;hard;industry 4.0;;benelux;one-time+licensing;2023;non;Unfavorable
