doc;usp_keywords
247energy.pdf;['247', 'the', 'energy', 'and', 'forward looking']
actblade.pdf;['blade', 'act', 'blades', 'uk', 'wind']
actronika.pdf;['haptic', 'of', 'gaming', 'sas', 'proprietary information of']
adlatusrobotics.pdf;['robot', 'cleaning', 'and', 'robotics', 'in']
adlc.pdf;['the', 'drone', 'and', 'to', 'of']
aerleum.pdf;['methanol', 'by air', 'powered by', 'air', 'dential']
aiblox.pdf;['hardware', 'ai', 'edge', 'software', 'the']
airbooster.pdf;['booster', 'the', 'of', 'air', 'm2']
aircision.pdf;['gbps', 'confidential', 'bandwidth', 'and', 'confidential confidential']
airthium.pdf;['heat', 'industrial heat', 'pump', 'pumps', 'max']
aithra.pdf;['sintering', 'diamond', 'of', 'printing', '3d printing']
akryvia.pdf;['plasma', 'to', 'and', 'what we', 'confidential']
akvola.pdf;['finadvice', 'finadvice ag', 'daf', 'ag', 'and']
alberts.pdf;['food', 'eur', 'our unique', 'enough', 'waste']
aloecell.pdf;['batteries', 'of', 'the', 'india', 'and']
alouette.pdf;['knowledge', 'copyright', 'confidential', 'v2', 'v1']
aloxy.pdf;['valve', 'gateway', 'valves', 'sensors', 'iiot']
altosolution.pdf;['of', 'the', 'solar', 'agro', 'heat']
altransenergy.pdf;['the', 'too', 'cables', 'of', 'underground']
amethyste.pdf;['of', 'risk', 'integrity', 'port', 'and']
amflow.pdf;['am', 'ai', 'the', 'and', 'the company']
amiraltechnologies.pdf;['amiral', 'page', 'property', 'technologies', 'of']
anabrid.pdf;['analog', 'computers', 'the', 'computing', 'and']
ananke.pdf;['heat', 'waste heat', 'of', 'the', 'to']
angara.pdf;['fouling', 'the', 'and', 'heat', 'heat exchangers']
anisoprint.pdf;['sarl', 'fiber', 'printing', 'composite', '3d printing']
appsilon.pdf;['diamond', 'semiconductor', 'semiconductors', 'diamonds', 'quantum']
aprexsolutions.pdf;['of', 'the', 'control', 'and', 'image']
aquilae.pdf;['of', 'the', 'and', 'of the', 'automatic']
aredox.pdf;['name of', 'up or scale', 'start up or', 'application file', 'up or']
arkcapturesolutions.pdf;['co2', 'flue', 'capture', 'carbon capture', 'flue gas']
arkeocean.pdf;['reproduced modified', 'be reproduced modified', 'document may not', 'disclosed to', 'in any way']
askforthemoon.pdf;['knowledge', 'right', 'the right', 'arr', 'the']
askforthemoon2.pdf;['generative', 'knowledge', 'arr', 'ai', 'yes']
