deal_name;pass_reason
AWORLD;Business-model issues
HIBYRD;Business-model issues
NAMKIN;Business-model issues
ROAV7;Business-model issues
SOHHYTECH;Business-model issues
SUNOLOGY;Business-model issues
YOUREE;Business-model issues
EFFEX;Far from our expertise
HAP2U;Far from our expertise
LICHENS;Far from our expertise
SIMABS;Far from our expertise
STIMSHOP;Far from our expertise
SWAVE;Far from our expertise
WECO TOILET;Far from our expertise
AMC ROBOTICS;Geography
CEMONITE;Geography
CENZOR;Geography
CLOEE;Geography
EMPIRE OF ENERGY RILLS;Geography
EOLOGIX-PING;Geography
EQON;Geography
HANNA PRODIGY;Geography
I-VERTIX;Geography
LATENCETECH;Geography
MYCEEN;Geography
POSTURA ERGONOMICS;Geography
VENTIVE;Geography
ZEROW;Geography
ARGENSUS;High valuation
PROJECT DUNE;High valuation
SABELLA - Projet ARVOR;High valuation
C-GREEN;Lack of answer
GAFT - GREEN AIR FUEL TECHNOLOGY;Lack of answer
QAPTIS;Lack of answer
APPI-TECHNOLOGY;Market issues
ARTIFICIEEL;Market issues
ASCA;Market issues
AZUR;Market issues
BATCONNECT;Market issues
BONIDRIVER;Market issues
CREATIVE THERAPY;Market issues
DON CICLETO;Market issues
FLEXORA;Market issues
FRACTAL ENERGY;Market issues
GRAPHEAL;Market issues
HIVE ELECTRIC;Market issues
IMPERFECT;Market issues
INCITIS;Market issues
INPHOCAL;Market issues
IVEX;Market issues
MADE IN TRACKER;Market issues
MAGNAX;Market issues
MAINTNERS;Market issues
MAPPALINK;Market issues
MARPLE DATA;Market issues
MYGRID;Market issues
NAYA;Market issues
NUCLIVISION;Market issues
OPUS AEROSPACE;Market issues
PAPERBOX;Market issues
PERCIV AI;Market issues
PROJECT SEA;Market issues
REIN4CED;Market issues
SPARK E-FUELS 2;Market issues
SPECTAR TECHNOLOGIES;Market issues
BIOQUEST ALLIANCE;No differenciation
BOWMAN POWER;No differenciation
INTELLIGENT FLUID;No differenciation
MEATZE;No differenciation
ARYBALLE;No strategic fit with JC
ANISOPRINT;Not looking for money
40WATTS;Out of scope
AC-DISMANTLING;Out of scope
ACELERON;Out of scope
ADVENTURA WORKS;Out of scope
AEGIR;Out of scope
AEROGEL TECHNOLOGIES;Out of scope
AFT;Out of scope
AGILE WIND POWER;Out of scope
AIRTHIUM;Out of scope
AISPRID;Out of scope
AISTI;Out of scope
AKRYVIA;Out of scope
ALGAECYTES;Out of scope
ALGO8.AI;Out of scope
ALINOR;Out of scope
ALKALEE;Out of scope
ALMORA BOTANICA;Out of scope
ALTA ARES;Out of scope
ALTRIS;Out of scope
A-METAL;Out of scope
A-METAL 2;Out of scope
AMP SAUMON DE FRANCE;Out of scope
ANDIUM;Out of scope
ANOD;Out of scope
ARKEON ENERGY;Out of scope
ASKA BIKES;Out of scope
ATLANT 3D;Out of scope
ATMONIA;Out of scope
AVATAR MOBILITE;Out of scope
AVES REALITY;Out of scope
AWAKE MOBILITY;Out of scope
AWP - Project Maverick;Out of scope
AZALEA VISION;Out of scope
AZETTI NETWORKS;Out of scope
BATIPRINT 3D;Out of scope
B-CAP;Out of scope
BEHOLDER;Out of scope
BEYOND AERO;Out of scope
BIB BATTERIES;Out of scope
BIDUSTRY;Out of scope
BIOJET;Out of scope
BIOPHILICA;Out of scope
BLINKAI;Out of scope
BLIXT;Out of scope
BLU NXT;Out of scope
BLUEBOARD;Out of scope
BOOMERANG;Out of scope
BOOMERANG 2;Out of scope
BRUDELI;Out of scope
C2C NEW CAP;Out of scope
CARBON WATERS 2;Out of scope
CARBON8;Out of scope
CATALYCO;Out of scope
CATSALYZE;Out of scope
CELCIBUS;Out of scope
CELLIFE;Out of scope
C-GREEN 2;Out of scope
CHAIN COMPLY;Out of scope
CIRCLE;Out of scope
CITI BEE;Out of scope
CLEVER PV;Out of scope
CMP COMPOSITES;Out of scope
COGNIFAB;Out of scope
COMPARABLES.AI;Out of scope
COMPASSAFM;Out of scope
COMPOSTABLE EYEWEAR PROJECT (Temp);Out of scope
CONDOR;Out of scope
CONSCIOUS LABS;Out of scope
CONVERTIGO;Out of scope
CORTEX MACHINA;Out of scope
CQUEL;Out of scope
CREDOXYS;Out of scope
CROSSNECTION;Out of scope
CTHINGS.CO;Out of scope
CYCLE UP;Out of scope
CYLTRONIC AG;Out of scope
DAYMAKER;Out of scope
DECTANK MARITIME;Out of scope
DEGLACE;Out of scope
DENDRA;Out of scope
DERMADETECT;Out of scope
DEWARMTE;Out of scope
DIAMFAB;Out of scope
DIMPORA;Out of scope
DOLFINES;Out of scope
DRYAD;Out of scope
DT MASTER CARBON;Out of scope
E4RTH;Out of scope
EASYGAN;Out of scope
EASYGROW;Out of scope
ECELLIX BATTERY INNOVATIONS;Out of scope
ECHEMICLES;Out of scope
ECO MODULAR;Out of scope
ECOCOMPLY;Out of scope
ECO-OIL;Out of scope
ECOPARTNERSHEEP;Out of scope
EDOCK;Out of scope
EFFICIENT HYDROGEN MOTORS;Out of scope
ELECTRIQ;Out of scope
ELECTROCHAEA;Out of scope
ELECTROGENIC;Out of scope
EMIBA Project;Out of scope
EMOVA;Out of scope
EMPYRIO;Out of scope
EMROBOTICS;Out of scope
EMTDLAB;Out of scope
